BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 16:33:02,14/02/2019 16:50:41,11/02/2019,A NOITE,RUA BENEDITO ANACLETO DE ARA�JO,1,VILA PANTALE�O,CACAPAVA,SP,-23,9473465
15/02/2019 01:28:28,15/02/2019 01:28:17,14/02/2019,A TARDE,RUA IONE MITICO HAYASHI,960,RESIDENCIAL BOSQUE DOS IPES,S.JOSE DOS CAMPOS,SP,-23,2532002
15/02/2019 13:24:33,15/02/2019 13:55:13,11/02/2019,A NOITE,AVENIDA BRASIL,0,JARDIM ITAMARATI,CACAPAVA,SP,-23,108511267
15/02/2019 16:31:42,15/02/2019 17:07:31,15/02/2019,A TARDE,RUA DOS SERRALHEIROS,150,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,197967100607
15/02/2019 17:57:13,15/02/2019 18:40:05,15/02/2019,PELA MANH�,RODOVIA RODOVIA PRESIDENTE DUTRA,1,EUG�NIO DE MELO,S.JOSE DOS CAMPOS,SP,-23,158296026
15/02/2019 18:53:15,15/02/2019 19:02:54,15/02/2019,A TARDE,RUA DOS AMORES-PERFEITOS,148,JARDIM DAS IND�STRIAS,S.JOSE DOS CAMPOS,SP,-23,2286056340391
15/02/2019 19:32:59,15/02/2019 20:14:24,15/02/2019,PELA MANH�,RUA DOUTOR MIGUEL JANSEN FILHO,10,PARQUE RESIDENCIAL UNI�O,S.JOSE DOS CAMPOS,SP,-23,2643166478421
16/02/2019 11:35:34,16/02/2019 12:00:46,16/02/2019,DE MADRUGADA,AVENIDA ADILSON JOSE DA CRUZ,10,CONJUNTO RESIDENCIAL PAPA JO�O PAULO II,S.JOSE DOS CAMPOS,SP,-23,2794164871715
17/02/2019 10:22:26,17/02/2019 10:39:36,17/02/2019,DE MADRUGADA,RUA PEDRO TURSI,1,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,221108918
17/02/2019 15:01:36,17/02/2019 16:47:50,16/02/2019,A NOITE,RUA CONSELHEIRO RODRIGUES ALVES,1,JARDIM MATARAZZO,S.JOSE DOS CAMPOS,SP,-23,1853031389999
17/02/2019 15:01:36,17/02/2019 16:47:50,16/02/2019,A NOITE,RUA CONSELHEIRO RODRIGUES ALVES,1,JARDIM MATARAZZO,S.JOSE DOS CAMPOS,SP,-23,1853031389999
17/02/2019 15:01:36,17/02/2019 16:47:50,16/02/2019,A NOITE,RUA CONSELHEIRO RODRIGUES ALVES,1,JARDIM MATARAZZO,S.JOSE DOS CAMPOS,SP,-23,1853031389999
17/02/2019 15:01:36,17/02/2019 16:47:50,16/02/2019,A NOITE,RUA CONSELHEIRO RODRIGUES ALVES,1,JARDIM MATARAZZO,S.JOSE DOS CAMPOS,SP,-23,1853031389999
18/02/2019 09:16:56,18/02/2019 09:30:28,15/02/2019,A TARDE,RUA R7,1507,SANTA MARIA,S.JOSE DOS CAMPOS,SP,-23,177277391
18/02/2019 09:34:49,18/02/2019 09:46:47,15/02/2019,A NOITE,AVENIDA HENRY NESTL�,1,JARDIM ITAMARATI,CACAPAVA,SP,-23,1125815789999
18/02/2019 10:35:28,18/02/2019 11:36:39,16/02/2019,PELA MANH�,RUA JOAQUIM BAGUNHA MALDOS,1,VILA TESOURO,S.JOSE DOS CAMPOS,SP,-23,171575146
18/02/2019 18:11:27,18/02/2019 18:23:35,18/02/2019,PELA MANH�,RUA SEBASTIAO HUMEL,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1814600709999
18/02/2019 19:50:01,18/02/2019 20:01:52,18/02/2019,A TARDE,AVENIDA ELIANE MARIA BARBIERE SOARES,584,JARDIM MORUMBI,S.JOSE DOS CAMPOS,SP,-23,2491864508799
18/02/2019 22:17:30,18/02/2019 23:13:55,18/02/2019,PELA MANH�,ESTRADA JOEL DE PAULA,999,PARQUE TECNOL�GICO,S.JOSE DOS CAMPOS,SP,-23,1544023171424
18/02/2019 22:17:30,18/02/2019 23:13:55,18/02/2019,PELA MANH�,ESTRADA JOEL DE PAULA,999,PARQUE TECNOL�GICO,S.JOSE DOS CAMPOS,SP,-23,1544023171424
19/02/2019 10:03:08,19/02/2019 10:17:57,02/02/2019,A NOITE,AVENIDA PROFESSOR POSSIDONIO SALLES,158,JARDIM S�O VICENTE,S.JOSE DOS CAMPOS,SP,-23,1692555746825
19/02/2019 11:00:42,19/02/2019 11:20:24,19/02/2019,DE MADRUGADA,AVENIDA MARIA DE LOURDES MEDEIROS DE ASS,400,CONJUNTO HABITACIONAL DOM PEDRO II,S.JOSE DOS CAMPOS,SP,-23,2730062355862
19/02/2019 12:24:16,19/02/2019 12:40:21,18/02/2019,A TARDE,RUA ITABUNA,101,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2318066965161
19/02/2019 13:55:54,19/02/2019 14:47:53,07/02/2019,A NOITE,RUA SAIGIRO NAKAMURA,800,VILA INDUSTRIAL,S.JOSE DOS CAMPOS,SP,-23,1798427792544
19/02/2019 17:54:17,19/02/2019 18:09:14,18/02/2019,A NOITE,RUA BENEDITO IUNES,1,JARDIM AMALIA,CACAPAVA,SP,-23,96644215
19/02/2019 21:53:39,19/02/2019 22:42:35,19/02/2019,PELA MANH�,RODOVIA PRESIDENTE DUTRA (BR 116),120,AREA RURAL,CACAPAVA,SP,-23,703889263715
20/02/2019 03:38:41,20/02/2019 04:03:28,20/02/2019,DE MADRUGADA,PRA�A NOSSA SENHORA DE FATIMA,1,JARDIM NOVA AM�RICA,S.JOSE DOS CAMPOS,SP,-23,1934747409999
20/02/2019 03:38:41,20/02/2019 04:03:28,20/02/2019,DE MADRUGADA,PRA�A NOSSA SENHORA DE FATIMA,1,JARDIM NOVA AM�RICA,S.JOSE DOS CAMPOS,SP,-23,1934747409999
20/02/2019 03:38:41,20/02/2019 04:03:28,20/02/2019,DE MADRUGADA,PRA�A NOSSA SENHORA DE FATIMA,1,JARDIM NOVA AM�RICA,S.JOSE DOS CAMPOS,SP,-23,1934747409999
20/02/2019 03:38:41,20/02/2019 04:03:28,20/02/2019,DE MADRUGADA,PRA�A NOSSA SENHORA DE FATIMA,1,JARDIM NOVA AM�RICA,S.JOSE DOS CAMPOS,SP,-23,1934747409999
20/02/2019 06:35:59,20/02/2019 06:35:53,19/02/2019,A TARDE,AVENIDA DA SAUDADE,33,JARDIM CAMPO GRANDE,CACAPAVA,SP,-23,1008702
20/02/2019 12:15:01,20/02/2019 12:58:52,18/02/2019,A TARDE,RUA JANUARIA,60,CH�CARAS REUNIDAS,S.JOSE DOS CAMPOS,SP,-23,257137770796
20/02/2019 12:15:01,20/02/2019 12:58:52,18/02/2019,A TARDE,RUA JANUARIA,60,CH�CARAS REUNIDAS,S.JOSE DOS CAMPOS,SP,-23,257137770796
20/02/2019 12:15:01,20/02/2019 12:58:52,18/02/2019,A TARDE,RUA JANUARIA,60,CH�CARAS REUNIDAS,S.JOSE DOS CAMPOS,SP,-23,257137770796
20/02/2019 12:15:01,20/02/2019 12:58:52,18/02/2019,A TARDE,RUA JANUARIA,60,CH�CARAS REUNIDAS,S.JOSE DOS CAMPOS,SP,-23,257137770796
20/02/2019 16:39:30,20/02/2019 16:57:16,19/02/2019,A NOITE,AVENIDA NICANOR REIS,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,2707065129999
20/02/2019 17:18:43,20/02/2019 17:31:56,17/02/2019,A NOITE,RUA BEATRIZ SA DE TOLEDO,40,VILA EMA,S.JOSE DOS CAMPOS,SP,-23,2068500983406
20/02/2019 20:41:12,20/02/2019 20:52:32,19/02/2019,A NOITE,RUA APARECIDA DA SILVA ALVES,21,JARDIM CRUZEIRO DO SUL,S.JOSE DOS CAMPOS,SP,-23,2826281436
21/02/2019 00:04:35,21/02/2019 00:05:05,19/02/2019,A NOITE,RUA BACABAL,1300,PARQUE INDUSTRIAL,S.JOSE DOS CAMPOS,SP,-23,2374201
21/02/2019 13:21:28,21/02/2019 13:38:43,20/02/2019,A NOITE,RUA ANTONIO BOARINI,211,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,2661041775571
21/02/2019 15:39:58,21/02/2019 15:54:08,21/02/2019,PELA MANH�,RUA FRANCISCO RAFAEL,298,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1809634381075
22/02/2019 10:53:48,22/02/2019 11:56:48,21/02/2019,A NOITE,RODOVIA BR 116,135,JARDIM ITAMARATI,CACAPAVA,SP,-23,1029938929333
22/02/2019 13:55:19,22/02/2019 14:06:09,22/02/2019,A TARDE,AVENIDA MONSENHOR TEODOMIRO LOBO,1,PQ RES M ELMIRA,CACAPAVA,SP,-23,1230414284244
23/02/2019 00:48:39,23/02/2019 01:15:53,22/02/2019,A NOITE,RUA CIDADE DE BENTO GONCALVES,0,PALMEIRAS DE S�O JOS�,S.JOSE DOS CAMPOS,SP,-23,2354094149999
23/02/2019 09:29:00,23/02/2019 10:02:38,22/02/2019,A NOITE,RUA GON�ALVES DIAS,0,VILA SANTOS,CACAPAVA,SP,-23,97114258
23/02/2019 14:50:06,23/02/2019 15:06:36,22/02/2019,A TARDE,ROTATORIA RUA JOAO RODOLFO CASTELLI,157,JARDIM S�O JUDAS TADEU,S.JOSE DOS CAMPOS,SP,-23,2525697723486
23/02/2019 21:56:03,23/02/2019 22:40:39,23/02/2019,A NOITE,RUA CECI,0,JARDIM S�O JOS� - CENTRO,S.JOSE DOS CAMPOS,SP,-23,1888319459999
24/02/2019 01:23:58,24/02/2019 02:13:43,23/02/2019,A TARDE,RUA PROFESSOR LUIZ ANTONIO RIBEIRO DE MA,0,JARDIM PARAISO DO SOL,S.JOSE DOS CAMPOS,SP,-23,1827497909999
24/02/2019 05:45:19,24/02/2019 06:16:53,24/02/2019,DE MADRUGADA,RUA CARAVELAS,10,PARQUE INDEPEND�NCIA,S.JOSE DOS CAMPOS,SP,-23,2539400486363
24/02/2019 06:55:14,24/02/2019 07:00:17,24/02/2019,DE MADRUGADA,RUA CARAVELAS,10,PARQUE INDEPEND�NCIA,S.JOSE DOS CAMPOS,SP,-23,2539400486363
24/02/2019 09:00:10,24/02/2019 09:00:45,24/02/2019,DE MADRUGADA,RUA BENEDITO HIL�RIO,290,JARDIM SANTA INES II,S.JOSE DOS CAMPOS,SP,-23,1669585
24/02/2019 09:36:31,24/02/2019 09:49:20,23/02/2019,A NOITE,RUA SEBASTIAO HUMEL,1,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1814600709999
25/02/2019 09:26:26,25/02/2019 09:26:34,24/02/2019,A NOITE,AVENIDA CASSIOPEIA,93,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,229052032862
25/02/2019 10:00:32,25/02/2019 10:11:22,24/02/2019,DE MADRUGADA,RUA PRESIDENTE ALVES,96,JARDIM DAS IND�STRIAS,S.JOSE DOS CAMPOS,SP,-23,224164624514
25/02/2019 15:13:26,25/02/2019 15:22:10,23/02/2019,PELA MANH�,RUA CASTOR,335,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2225239885262
25/02/2019 16:12:21,25/02/2019 16:26:10,25/02/2019,A TARDE,RUA PORTO NOVO,300,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2239568588709
25/02/2019 20:03:10,25/02/2019 20:07:11,24/02/2019,DE MADRUGADA,RUA CARAVELAS,10,PARQUE INDEPEND�NCIA,S.JOSE DOS CAMPOS,SP,-23,2539400486363
25/02/2019 22:12:36,25/02/2019 23:40:45,25/02/2019,A NOITE,RUA ARTUR BARROS PACH�CO,213,JD PANORAMA,CACAPAVA,SP,-23,669199126464
26/02/2019 06:56:07,26/02/2019 07:14:56,26/02/2019,PELA MANH�,RUA PARAIBUNA,55,CENTRO,S.JOSE DOS CAMPOS,SP,-23,192142484
26/02/2019 10:11:23,26/02/2019 10:32:15,26/02/2019,DE MADRUGADA,RUA JOSE DIAS DE AGUIAR,149,VILA DO CARMO,S.JOSE DOS CAMPOS,SP,-23,16060345675
26/02/2019 10:46:31,26/02/2019 11:02:46,22/02/2019,A TARDE,ESTRADA JOS� AUGUSTO TEIXEIRA,1211,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,2690481879999
26/02/2019 14:25:49,26/02/2019 14:29:46,25/02/2019,A TARDE,RUA AVIAO ALVEAR,1,JARDIM SOUTO,S.JOSE DOS CAMPOS,SP,-23,20006523
26/02/2019 14:58:50,26/02/2019 14:58:53,25/02/2019,A NOITE,AVENIDA SALINAS,3527,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2677557
26/02/2019 16:46:25,26/02/2019 17:31:32,24/02/2019,PELA MANH�,AVENIDA LIVIO VENEZIANI,400,CH�CARA S�O JOS�,S.JOSE DOS CAMPOS,SP,-23,2095781710459
26/02/2019 23:45:37,27/02/2019 02:55:54,26/02/2019,A NOITE,RUA PRESIDENTE CAMPOS SALES,13,VILA ESMERALDA,S.JOSE DOS CAMPOS,SP,-23,1597797284574
27/02/2019 08:38:52,27/02/2019 09:12:07,27/02/2019,DE MADRUGADA,RODOVIA PRESIDENTE DUTRA (BR 116),132,AREA RURAL,CACAPAVA,SP,-23,1297441094973
27/02/2019 09:14:06,27/02/2019 09:43:24,26/02/2019,A NOITE,RUA GUANAHANI,0,VILA RUBI,S.JOSE DOS CAMPOS,SP,-23,203375421
27/02/2019 09:14:06,27/02/2019 09:43:24,26/02/2019,A NOITE,RUA GUANAHANI,0,VILA RUBI,S.JOSE DOS CAMPOS,SP,-23,203375421
27/02/2019 12:04:00,27/02/2019 12:18:18,26/02/2019,A NOITE,RUA CORONEL PALIMERICO RESENDE,1,JARDIM COLONIAL,S.JOSE DOS CAMPOS,SP,-23,2830540309999
27/02/2019 18:22:46,27/02/2019 18:36:55,13/02/2019,A TARDE,RUA DOUTOR JOS� V F MARCONDES,0,CENTRO,CACAPAVA,SP,-23,1028772884468
27/02/2019 21:11:37,27/02/2019 21:33:46,27/02/2019,DE MADRUGADA,RUA MORELOS,222,PARQUE NOVA ESPERAN�A,S.JOSE DOS CAMPOS,SP,-23,199335264
28/02/2019 10:09:07,28/02/2019 10:29:16,27/02/2019,A NOITE,AVENIDA ANDROMEDA,227,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2180213565941
28/02/2019 10:18:26,28/02/2019 10:30:14,27/02/2019,A NOITE,RUA VENEZUELA,70,JD SHANGRILA,CACAPAVA,SP,-23,1101750326829
28/02/2019 11:05:34,28/02/2019 11:16:09,27/02/2019,A NOITE,AVENIDA CAMPOS ELISEOS,100,JARDIM ALVORADA,S.JOSE DOS CAMPOS,SP,-23,2205533928056
28/02/2019 11:47:13,28/02/2019 14:03:20,27/02/2019,A TARDE,RODOVIA PRESIDENTE DUTRA (BR 116),132,AREA RURAL,CACAPAVA,SP,-23,1297441094973
28/02/2019 11:47:13,28/02/2019 14:03:20,27/02/2019,A TARDE,RODOVIA PRESIDENTE DUTRA (BR 116),132,AREA RURAL,CACAPAVA,SP,-23,1297441094973
28/02/2019 11:47:13,28/02/2019 14:03:20,27/02/2019,A TARDE,RODOVIA PRESIDENTE DUTRA (BR 116),132,AREA RURAL,CACAPAVA,SP,-23,1297441094973
28/02/2019 11:47:13,28/02/2019 14:03:20,27/02/2019,A TARDE,RODOVIA PRESIDENTE DUTRA (BR 116),132,AREA RURAL,CACAPAVA,SP,-23,1297441094973
28/02/2019 11:47:13,28/02/2019 14:03:20,27/02/2019,A TARDE,RODOVIA PRESIDENTE DUTRA (BR 116),132,AREA RURAL,CACAPAVA,SP,-23,1297441094973
28/02/2019 11:47:13,28/02/2019 14:03:20,27/02/2019,A TARDE,RODOVIA PRESIDENTE DUTRA (BR 116),132,AREA RURAL,CACAPAVA,SP,-23,1297441094973
28/02/2019 14:26:57,28/02/2019 15:09:38,28/02/2019,A TARDE,RUA DOS PERIQUITOS,1095,VILA TATETUBA,S.JOSE DOS CAMPOS,SP,-23,1808637822807
28/02/2019 15:33:45,28/02/2019 16:55:03,24/02/2019,PELA MANH�,RUA JO�O AD�O,231,CAMPO DOS ALEM�ES,S.JOSE DOS CAMPOS,SP,-23,2680426064999
28/02/2019 17:08:01,28/02/2019 17:31:55,28/02/2019,A TARDE,RUA DOS PERIQUITOS,1095,VILA TATETUBA,S.JOSE DOS CAMPOS,SP,-23,1808637822807
28/02/2019 17:36:32,28/02/2019 18:32:32,28/02/2019,A TARDE,RUA SEGURANCA SARGENTO CLARISMUNDO SILVA,608,JARDIM MOTORAMA,S.JOSE DOS CAMPOS,SP,-23,1720753563488
28/02/2019 17:36:32,28/02/2019 18:32:32,28/02/2019,A TARDE,RUA SEGURANCA SARGENTO CLARISMUNDO SILVA,608,JARDIM MOTORAMA,S.JOSE DOS CAMPOS,SP,-23,1720753563488
