BO_INICIADO,DATAOCORRENCIA,PERIDOOCORRENCIA,DATAELABORACAO,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
31/2019,02/01/2019,A NOITE,02/01/2019 22:53:25,RUA DOS FERREIROS,59,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,1979849307733,-45
10/2019,29/12/2018,A NOITE,03/01/2019 09:35:54,VIADUTO RAQUEL MARCONDES,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1870878989999,-45
21/2019,02/01/2019,A NOITE,03/01/2019 12:48:17,RUA ELMANO FERREIRA VELOSO,200,JARDIM ESTORIL,S.JOSE DOS CAMPOS,SP,-23,2499805773048,-45
5397/2019,31/12/2018,A TARDE,03/01/2019 14:31:38,AVENIDA DOUTOR JOAO BATISTA SOARES DE QU,0,JARDIM DAS IND�STRIAS,S.JOSE DOS CAMPOS,SP,-23,223766967,-45
17/2019,30/12/2018,A NOITE,03/01/2019 16:15:07,RUA DOM JOAO VI,1,JARDIM IMPERIAL,S.JOSE DOS CAMPOS,SP,-23,275946974,-45
34/2019,04/01/2019,DE MADRUGADA,04/01/2019 07:15:52,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
24/2019,04/01/2019,EM HORA INCERTA,04/01/2019 10:53:16,RUA PADRE WILSON CUNHA,799,CONJUNTO HABITACIONAL DOM PEDRO II,S.JOSE DOS CAMPOS,SP,-23,273769994,-45
22/2019,28/12/2018,A NOITE,04/01/2019 14:44:40,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,7838,JARDIM VALPARA�BA,S.JOSE DOS CAMPOS,SP,-23,177390359,-45
56/2019,31/12/2018,PELA MANHA,04/01/2019 15:39:49,,0,,S.JOSE DOS CAMPOS,SP,-23,2472448,Resid�ncia
12648/2019,01/01/2019,A NOITE,05/01/2019 00:02:32,RUA GOVERNADOR VALADARES,40,VILA IRACEMA,S.JOSE DOS CAMPOS,SP,-23,1748299,-45
14134/2019,20/12/2018,PELA MANHA,05/01/2019 15:48:30,RUA ALBERTO RENART,662,JARDIM SANTA INES I,S.JOSE DOS CAMPOS,SP,-23,231166236125,-45
43/2019,06/01/2019,A NOITE,07/01/2019 11:22:34,AVENIDA ANDROMEDA,2000,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2730062355862,-45
66/2019,07/01/2019,A NOITE,07/01/2019 20:18:01,AVENIDA MARIA DE LOURDES MEDEIROS DE ASS,400,CONJUNTO HABITACIONAL DOM PEDRO II,S.JOSE DOS CAMPOS,SP,-23,2386768,-45
28717/2019,08/01/2019,DE MADRUGADA,08/01/2019 01:51:00,RUA MAR DEL PLATA,1026,JARDIM AMERICA,S.JOSE DOS CAMPOS,SP,-23,256763534,-45
23918/2019,04/01/2019,A TARDE,08/01/2019 06:09:26,AVENIDA FEIRA DE SANTANA,8000,JARDIM VALE DO SOL,S.JOSE DOS CAMPOS,SP,-23,167708,-45
26006/2019,03/12/2018,A NOITE,08/01/2019 11:34:04,AVENIDA CIDADE JARDIM,4521,JARDIM PORTUGAL,S.JOSE DOS CAMPOS,SP,-23,19271299,Via publica
76/2019,08/01/2019,DE MADRUGADA,08/01/2019 12:45:48,ESTRADA DO CAJURU,1,CAJUR�,S.JOSE DOS CAMPOS,SP,-23,168242092,-45
26952/2019,06/01/2019,PELA MANHA,08/01/2019 14:30:00,RUA DOUTOR CLAUDIO MARTINS MIRANDA CHAVE,125,JARDIM S�O VICENTE,CACAPAVA,SP,-23,1255308416541,-45
70/2019,07/01/2019,A TARDE,08/01/2019 13:57:34,RODOVIA PRESIDENTE DUTRA (BR 116),131,AREA RURAL,CACAPAVA,SP,-23,1255308416541,-45
70/2019,07/01/2019,A TARDE,08/01/2019 13:57:34,RODOVIA PRESIDENTE DUTRA (BR 116),131,AREA RURAL,CACAPAVA,SP,-23,1255308416541,-45
70/2019,07/01/2019,A TARDE,08/01/2019 13:57:34,RODOVIA PRESIDENTE DUTRA (BR 116),131,AREA RURAL,CACAPAVA,SP,-23,1255308416541,-45
70/2019,07/01/2019,A TARDE,08/01/2019 13:57:34,RODOVIA PRESIDENTE DUTRA (BR 116),131,AREA RURAL,S.JOSE DOS CAMPOS,SP,-23,229193266,-45
11/2019,23/12/2018,DE MADRUGADA,08/01/2019 17:02:32,AVENIDA CASSIANO RICARDO,0,ROYAL PARK,S.JOSE DOS CAMPOS,SP,-23,2060938839999,-45
78/2019,08/01/2019,A TARDE,08/01/2019 17:15:33,ESTRADA ANTONIO FREDERICO OZANAM,1550,SANTA HERM�NIA,S.JOSE DOS CAMPOS,SP,-23,192686909,-45
32236/2019,07/01/2019,A TARDE,09/01/2019 11:17:53,PRA�A DA BANDEIRA,180,CENTRO,CACAPAVA,SP,-23,994911339999,Via publica
85/2019,08/01/2019,A NOITE,09/01/2019 12:02:26,AVENIDA CORONEL MANOEL INOC�NCIO,1,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1709012769425,-45
86/2019,08/01/2019,A TARDE,09/01/2019 15:44:44,AVENIDA JOSE PEDRO,201,JARDIM NOVA DETROIT,S.JOSE DOS CAMPOS,SP,-23,2278283670224,-45
34142/2019,31/12/2018,A NOITE,09/01/2019 19:20:11,RUA TEREZINA,80,PARQUE INDUSTRIAL,CACAPAVA,SP,-23,1028772884468,-45
90/2019,09/01/2019,A NOITE,10/01/2019 09:17:31,RUA JOSE MONTEIRO DA SILVA,70,CENTRO,CACAPAVA,SP,-23,1028772884468,-45
91/2019,22/12/2018,A NOITE,10/01/2019 09:31:20,ESTRADA NELCIO BERTI,1,CENTRO,S.JOSE DOS CAMPOS,SP,-23,214240284,-45
94/2019,09/01/2019,A NOITE,10/01/2019 10:06:15,RUA ANTONIO BERNARDO HEMKEMEIK,1,CAMPOS DE S�O JOS�,S.JOSE DOS CAMPOS,SP,-23,214240284,-45
94/2019,09/01/2019,A NOITE,10/01/2019 10:06:15,RUA ANTONIO BERNARDO HEMKEMEIK,1,CAMPOS DE S�O JOS�,S.JOSE DOS CAMPOS,SP,-23,19180618,-45
81/2019,10/01/2019,A TARDE,10/01/2019 13:38:05,RUA EUCLIDES MIRAGAIA,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,2096845469999,-45
108/2019,10/01/2019,A NOITE,11/01/2019 09:32:50,ESTRADA MATO DENTRO,1,SANTA HERM�NIA,CACAPAVA,SP,-23,1134126819999,-45
103/2019,11/01/2019,DE MADRUGADA,11/01/2019 10:24:17,RUA VEREADOR GERALDO NOGUEIRA DA SILVA,1,RES ESPERAN�A,S.JOSE DOS CAMPOS,SP,-23,1637747029999,-45
111/2019,11/01/2019,A TARDE,11/01/2019 19:12:02,AVENIDA RUI BARBOSA,1855,VILA ROSSI,S.JOSE DOS CAMPOS,SP,-23,18846953,-45
131/2019,11/01/2019,A NOITE,12/01/2019 19:21:26,PRA�A CAPIT�O PEDRO PINTO DA CUNHA,29,RESIDENCIAL MARTINS PEREIRA,S.JOSE DOS CAMPOS,SP,-23,246578698,-45
101/2019,13/01/2019,DE MADRUGADA,13/01/2019 05:41:25,AVENIDA FUSANOBU YOKOTA,999,JARDIM MORUMBI,S.JOSE DOS CAMPOS,SP,-23,183230147,-45
136/2019,13/01/2019,DE MADRUGADA,13/01/2019 09:07:01,AVENIDA SAO JOSE,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,901236575556,-45
138/2019,12/01/2019,A NOITE,13/01/2019 11:08:54,ESTRADA FLORINDO,3000,BURQUIRINHA,S.JOSE DOS CAMPOS,SP,-23,2657055423853,-45
54191/2019,13/01/2019,A NOITE,14/01/2019 05:20:03,RUA AGENOR XAVIER DE OLIVEIRA,39,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,1878604491054,-45
122/2019,12/01/2019,A NOITE,14/01/2019 11:26:41,AVENIDA PRESIDENTE TANCREDO NEVES,4500,SANTA MARIA,S.JOSE DOS CAMPOS,SP,-23,183230147,-45
101/2019,13/01/2019,DE MADRUGADA,14/01/2019 11:48:45,AVENIDA SAO JOSE,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,2096845469999,-45
134/2019,10/01/2019,A NOITE,14/01/2019 14:39:21,ESTRADA MATO DENTRO,1,SANTA HERM�NIA,S.JOSE DOS CAMPOS,SP,-23,1101378563098,-45
63/2019,14/01/2019,PELA MANHA,14/01/2019 16:21:44,ESTRADA JOSE BENEDITO DE OLIVEIRA,310,BAIRRO DOS FREITAS,S.JOSE DOS CAMPOS,SP,-23,2574294426197,-45
89/2019,14/01/2019,A NOITE,15/01/2019 10:23:36,RUA TEREZA ALVES CURSINO,220,JARDIM PORTUGAL,S.JOSE DOS CAMPOS,SP,-23,189586796,-45
94/2019,12/01/2019,DE MADRUGADA,15/01/2019 17:44:48,,0,,S.JOSE DOS CAMPOS,SP,-23,1813784158056,Via publica
170/2019,14/01/2019,A NOITE,15/01/2019 19:04:43,RUA SEBASTIAO HUMEL,100,CENTRO,CACAPAVA,SP,-23,1213506729999,-45
